region,crop,year,rainfall_mm,avg_temperature_c,humidity_pct,soil_ph,soil_nitrogen_kg_ha,soil_phosphorus_kg_ha,soil_potassium_kg_ha,irrigation_pct_area,fertilizer_kg_ha,farm_area_ha,yield_tonnes_per_ha
West,Maize,2021,597.7,24.7,71.1,5.49,55.3,36.0,123.8,23.5,158.7,0.5,3.43
Central,Cotton,2019,914.2,29.9,64.1,6.79,112.1,43.0,156.3,16.1,172.4,2.17,1.25
East,Rice,2010,928.4,25.7,36.2,4.64,149.3,61.2,140.8,76.2,254.4,7.06,2.28
Central,Cotton,2019,946.5,23.7,81.4,6.48,136.7,56.7,219.0,0.1,184.0,0.5,1.33
Central,Rice,2021,1130.0,29.2,62.4,6.02,85.9,51.6,181.9,43.9,179.8,0.5,2.49
South,Maize,2010,1154.7,25.2,54.1,7.31,91.7,54.6,171.8,8.7,293.8,8.16,4.75
East,Maize,2013,751.4,24.6,54.3,7.9,84.8,47.7,142.9,55.2,98.7,4.83,2.69
East,Soybean,2011,746.0,25.6,29.8,6.24,141.0,49.5,69.0,34.6,132.7,14.88,1.68
East,Sugarcane,2020,640.0,23.5,68.9,7.61,94.1,48.3,117.7,2.8,205.1,2.38,38.66
Central,Rice,2016,1074.7,24.0,63.9,6.25,128.9,45.0,124.1,46.1,82.8,2.64,2.56
West,Soybean,2011,1262.2,21.1,57.1,5.73,129.3,56.3,139.0,57.1,157.6,0.65,1.71
East,Rice,2019,821.2,20.2,79.2,7.9,202.9,50.4,148.7,24.8,157.1,6.19,2.28
Central,Soybean,2011,839.6,19.0,39.2,6.92,131.0,31.8,176.2,76.6,237.7,3.64,2.06
South,Maize,2014,1266.7,17.0,51.0,6.5,91.6,52.9,160.9,37.1,221.6,3.32,4.03
West,Cotton,2013,1026.4,19.6,47.2,7.05,68.9,48.7,196.4,74.9,79.0,4.89,1.2
South,Soybean,2017,1009.1,23.1,55.8,6.72,110.3,54.2,137.5,57.9,138.4,15.16,2.08
West,Rice,2013,602.3,24.5,61.0,6.44,115.8,43.4,160.3,86.9,138.6,0.89,3.16
Central,Rice,2023,1069.7,22.6,66.5,5.44,42.6,57.2,163.8,54.7,167.0,5.93,2.41
North,Sugarcane,2021,667.7,12.2,54.8,6.28,95.0,44.1,159.8,18.6,114.1,1.75,35.04
West,Maize,2015,616.5,31.9,46.8,7.0,130.4,55.9,201.3,82.3,207.1,1.91,3.3
South,Rice,2014,813.3,29.4,85.3,6.4,101.4,38.2,182.2,78.3,138.3,2.37,2.68
Central,Wheat,2020,753.6,26.2,96.2,7.22,153.9,39.2,97.2,97.2,215.3,4.92,2.48
West,Cotton,2023,844.6,33.5,62.1,6.81,65.5,54.0,145.4,9.4,179.8,5.46,1.13
North,Soybean,2011,539.8,19.1,48.6,5.8,143.7,40.0,149.4,59.1,121.6,16.42,1.53
North,Sugarcane,2020,1139.7,33.4,82.1,5.44,152.0,78.1,236.1,49.2,263.3,17.81,39.34
East,Cotton,2024,1181.9,19.2,38.3,6.37,153.5,53.5,136.8,67.1,265.1,7.07,1.67
East,Maize,2022,413.2,25.2,55.0,6.08,65.2,45.4,110.7,98.0,197.4,2.64,3.71
South,Sugarcane,2021,1144.6,17.6,49.6,6.77,131.0,57.3,167.5,53.2,165.6,13.65,42.06
West,Soybean,2023,697.4,24.1,42.6,5.93,96.6,37.8,169.9,68.6,116.6,12.6,1.56
West,Soybean,2017,1114.2,25.9,55.8,6.01,70.8,58.8,147.0,34.7,244.3,12.79,1.81
East,Wheat,2011,882.9,23.2,47.0,7.34,105.5,58.4,141.2,29.9,229.4,0.5,2.1
West,Maize,2018,907.2,27.6,60.2,6.62,88.3,63.8,188.0,33.5,131.2,11.21,3.91
West,Sugarcane,2024,853.7,24.5,60.4,5.94,152.2,38.4,115.9,3.9,138.8,15.32,44.33
North,Sugarcane,2018,1203.0,21.4,50.7,6.51,138.0,26.7,136.4,28.5,207.4,7.43,45.66
East,Rice,2012,590.1,21.2,54.4,7.6,79.7,35.8,129.1,17.3,109.5,11.13,1.88
Central,Wheat,2013,1052.0,28.1,56.5,6.74,94.7,40.8,193.8,45.7,142.5,11.97,2.24
East,Wheat,2017,1175.3,20.7,72.1,6.97,106.7,70.0,161.4,46.1,117.6,5.65,2.09
Central,Sugarcane,2018,1079.1,28.6,57.8,5.9,117.5,77.9,107.4,76.5,119.5,13.44,44.91
North,Sugarcane,2012,1481.2,30.1,72.4,7.32,155.2,50.2,111.4,50.2,136.8,12.57,32.47
South,Cotton,2014,767.8,15.7,68.8,8.35,144.2,45.1,224.9,46.3,234.4,19.83,0.98
West,Cotton,2020,1139.3,29.7,68.6,5.87,121.8,39.8,193.3,23.2,74.7,20.34,1.13
North,Cotton,2024,873.5,34.3,80.8,5.55,110.9,57.4,183.7,85.2,206.0,6.04,1.05
West,Wheat,2017,1208.4,25.3,43.2,6.64,57.9,77.8,150.5,9.1,195.5,0.5,2.3
South,Rice,2012,898.1,27.0,52.9,7.2,165.2,71.8,210.3,98.2,238.1,0.5,3.42
South,Soybean,2016,803.0,29.2,86.4,6.43,104.4,62.1,105.9,47.6,195.4,22.37,1.75
North,Cotton,2020,1226.5,22.6,56.1,5.66,174.4,61.8,180.1,18.6,157.3,3.29,1.19
South,Rice,2017,777.1,24.9,17.8,6.41,126.9,57.5,132.3,35.4,131.1,3.79,2.49
Central,Maize,2019,546.8,17.4,57.0,6.98,190.9,44.3,140.0,1.5,239.4,5.08,3.45
